track_spotifyID,artist_spotifyID,artist_mbid,artist_name,artist_fychart_name,track_url,track_popularity,track_duration_ms,track_is_local,albumID,album_track_number,album_release_date,album_type
5lwVd35Zg6DJ4qibVMq99H,07YUOmWljBTXwIseAUd9TW,151d9c35-43b8-49b9-a69a-5db6525dbcd2,Sebastian Yatra,Luis Fonsi,https://open.spotify.com/track/5lwVd35Zg6DJ4qibVMq99H,73,219773,FALSE,7IPOvQXhAI5OQD8S3ZOtmE,1,24/04/2019,single
5lwVd35Zg6DJ4qibVMq99H,1SupJlEpv7RS2tPNRaHViT,c458e9dc-e0d5-45ea-9e83-f9d0395f030d,Nicky Jam,Luis Fonsi,https://open.spotify.com/track/5lwVd35Zg6DJ4qibVMq99H,73,219773,FALSE,7IPOvQXhAI5OQD8S3ZOtmE,1,24/04/2019,single
3HVWdVOQ0ZA45FuZGSfvns,6eUKZXaKkcviH0Ku9w2n3V,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Ed Sheeran,Ed Sheeran,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,87,219946,FALSE,5Nux7ozBJ5KJ02QYWwrneR,1,10/05/2019,single
3HVWdVOQ0ZA45FuZGSfvns,1uNFoZAHBGtllmzznpCI3s,e0140a67-e4d1-4f13-8a01-364355bee46e,Justin Bieber,Ed Sheeran,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,87,219946,FALSE,5Nux7ozBJ5KJ02QYWwrneR,1,10/05/2019,single
2MuMD298IpYqKF367wegUd,4xRYI6VqpkE3UwrDrAZL8L,713e751f-3ddb-4b77-b3b1-9e6f2e953ad5,Logic,Logic,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd,11,245386,FALSE,6GeHCNwwqMMUrpxuGTRYcf,2,10/05/2019,album
2MuMD298IpYqKF367wegUd,7dGJo4pcD2V6oG8kP0tJRR,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,Logic,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd,11,245386,FALSE,6GeHCNwwqMMUrpxuGTRYcf,2,10/05/2019,album
6gRbkI6s0M7zTE9uhRZUjV,2p1fiYHYiXz9qi0JJyxBzN,38474d18-9204-4f60-a137-1fcc6750b869,Skepta,Skepta,https://open.spotify.com/track/6gRbkI6s0M7zTE9uhRZUjV,57,168400,FALSE,3qhdxKqksjkX6l8NDXz0as,1,09/05/2019,single
6gRbkI6s0M7zTE9uhRZUjV,3dKjmeRZcSUw617CoMzEA0,6ee8c6fc-05be-4f55-a1a7-70c0601ac526,Nafe Smallz,Skepta,https://open.spotify.com/track/6gRbkI6s0M7zTE9uhRZUjV,57,168400,FALSE,3qhdxKqksjkX6l8NDXz0as,1,09/05/2019,single
0Q8aQ6xUAFOGCd0vR32FPf,3Q8Ow3li2nXzZhRPHMwR7h,f83f4c53-a3b8-4098-87e6-182215cf5496,Da Beatfreakz,Da Beatfreakz,https://open.spotify.com/track/0Q8aQ6xUAFOGCd0vR32FPf,61,177440,FALSE,4LcHmOy7GtRqEeqIz1Ii12,1,07/05/2019,single
0Q8aQ6xUAFOGCd0vR32FPf,58ICshZ0AgBMNJiLHK3U8l,c5cddda5-f557-4c32-a5e6-112f273c56ec,Deno,Da Beatfreakz,https://open.spotify.com/track/0Q8aQ6xUAFOGCd0vR32FPf,61,177440,FALSE,4LcHmOy7GtRqEeqIz1Ii12,1,07/05/2019,single
