"time_id","type_id","start_time_id","no_of_events"
"201903",1,"0000",318
"201903",1,"1130",4
"201903",1,"1200",22
"201903",1,"1300",3
"201903",1,"1600",8
"201903",1,"1630",31
"201903",1,"1730",4
"201903",1,"1735",2
"201903",1,"1815",3
"201903",1,"1820",3
"201903",1,"1900",11
"201903",1,"2000",6
"201903",1,"2015",37
"201903",1,"2200",2
"201903",1,"2300",3
"201904",1,"0000",253
"201904",1,"1000",7
"201904",1,"1200",54
"201904",1,"1300",20
"201904",1,"1330",17
"201904",1,"1400",17
"201904",1,"1700",6
"201904",1,"1800",6
"201904",1,"1830",6
"201904",1,"1900",13
"201904",1,"1930",4
"201904",1,"2000",5
"201904",1,"2200",3
"201904",1,"2300",6
"201905",1,"0000",1245
"201905",1,"1000",76
"201905",1,"1100",110
"201905",1,"1200",150
"201905",1,"1300",106
"201905",1,"1400",48
"201905",1,"1500",6
"201905",1,"1700",18
"201905",1,"1800",1
"201905",1,"1830",5
"201905",1,"1900",1
"201905",1,"2300",2
"201906",1,"0000",935
"201906",1,"0700",7
"201906",1,"0800",27
"201906",1,"0900",1
"201906",1,"1000",3
"201906",1,"1100",16
"201906",1,"1200",381
"201906",1,"1230",2
"201906",1,"1300",31
"201906",1,"1400",18
"201906",1,"1600",9
"201906",1,"1700",7
"201906",1,"1730",4
"201906",1,"1800",5
"201906",1,"1900",1
"201906",1,"1930",13
"201907",1,"0000",1521
"201907",1,"1000",4
"201907",1,"1100",23
"201907",1,"1130",1
"201907",1,"1200",264
"201907",1,"1230",6
"201907",1,"1300",15
"201907",1,"1330",41
"201907",1,"1400",132
"201907",1,"1500",82
"201907",1,"1700",9
"201907",1,"1800",5
"201907",1,"1900",6
"201908",1,"0000",1468
"201908",1,"0900",35
"201908",1,"1000",15
"201908",1,"1100",120
"201908",1,"1130",131
"201908",1,"1200",179
"201908",1,"1230",9
"201908",1,"1300",72
"201908",1,"1400",70
"201908",1,"1500",16
"201908",1,"1530",1
"201908",1,"1600",87
"201908",1,"1700",61
"201908",1,"1800",1
"201908",1,"1830",5
"201908",1,"1900",26
"201908",1,"1930",1
"201909",1,"0000",555
"201909",1,"1100",8
"201909",1,"1200",99
"201909",1,"1300",29
"201909",1,"1400",7
"201909",1,"1600",6
"201909",1,"1630",3
"201909",1,"1800",8
"201909",1,"1900",4
"201909",1,"2300",4
"201910",1,"0000",374
"201910",1,"1200",11
"201910",1,"1230",9
"201910",1,"1300",10
"201910",1,"1330",46
